,Human Universal Affordance,Funtional Name,Objects,Counts,Reference 1,Reference 2,Reference 3,Cultures (From References),Dollar Street topic,image id
65,Practicing hygiene,bathing,bathtub,14,"Carcopino, J., Rowell, H. T., & Lorimer, E. O. (Emily O. (1940). Daily life in ancient Rome: the people and the city at the height of the empire. Yale University Press. https://ehrafworldcultures.yale.edu/document?id=ei09-001","Ayrout, H. H., & Wayment, H. (1945). The Fellaheen. R. Schindler. https://ehrafworldcultures.yale.edu/document?id=mr13-003",,"Europe-Rome, Africa-Egypt",bathroom privacy,assets/5d4be535cf0b3a0f3f341810/5d4be535cf0b3a0f3f341810.JPG
66,Practicing hygiene,bathing,bamboo enclosure,1,"Barnett, H. G. (Homer G. (1949). Palauan society: a study of contemporary native life in the Palau Islands. In Report (Issue 20, pp. 5, 223). University of Oregon Publications. https://ehrafworldcultures.yale.edu/document?id=or15-004",,,Oceania-Palau,bathroom privacy,assets/5d4bef59cf0b3a0f3f353148/5d4bef59cf0b3a0f3f353148.jpg
67,Practicing hygiene,bathing,river,1,"Cushing, Frank Hamilton. 1882. “The Nation of the Willows.” The Atlantic Monthly Vol. 50:374, 541–59. https://ehrafworldcultures.yale.edu/document?id=nt14-012.",,,America-US,bathroom privacy,assets/5d4be787cf0b3a0f3f3459ce/5d4be787cf0b3a0f3f3459ce.jpg
68,Practicing hygiene,bathing,towel,4,"Friedl, E. (1963). Vasilika: a village in modern Greece. In Case studies in cultural anthropology (pp. 18, 110). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=eh01-002","Dubisch, J. (1986). Culture enters through the kitchen: women, food, and social boundaries in rural Greece. In gender & power in rural greece (pp. 195–214). Princeton University Press. https://ehrafworldcultures.yale.edu/document?id=eh01-026",,Europe-Greece,bathroom privacy,assets/5fd03411f2d9500e4358c3c6/7f7dc9602d8fc4d9f75c2840e0165cc5/previews/1024_01.jpg
69,Practicing hygiene,bathing,shower,50,"Chavez, L. R. (Leo R. (1998). Shadowed lives: undocumented immigrants in American society. In Case studies in cultural anthropology (pp. xvii, 222). Harcourt Brace College Publishers. https://ehrafworldcultures.yale.edu/document?id=n007-036",,,America-US,shower,assets/5d4be339cf0b3a0f3f33deed/5d4be339cf0b3a0f3f33deed.jpg
70,Practicing hygiene,bathing,faucet,3,"Maretzki, T. W., Maretzki, H., & Whiting, B. B. (1963). Taira: an Okinawan village. In six cultures?: studies of child rearing (pp. 1–13, 363–539). John Wiley and Sons, Inc. https://ehrafworldcultures.yale.edu/document?id=ac07-002",,,Asia-Japan,shower,assets/5d4bdfcccf0b3a0f3f338342/5d4bdfcccf0b3a0f3f338342.jpg
71,Practicing hygiene,bathing,bucket,39,"Hutchinson, H. W. (1957). Village and plantation life in northeastern Brazil. University of Washington Press. https://ehrafworldcultures.yale.edu/document?id=so11-002","Warren, Dennis M. 1975. The Techiman-Bono of Ghana: An Ethnography of an Akan Society. Dubuque, Iowa: Kendall/Hunt Pub. Co. https://ehrafworldcultures.yale.edu/document?id=fe12-054.",,"America-Brazil, Africa-Ghana",shower,assets/5d4bdf13cf0b3a0f3f337123/5d4bdf13cf0b3a0f3f337123.JPG
72,Practicing hygiene,bathing,water tank,1,"Maretzki, T. W., Maretzki, H., & Whiting, B. B. (1963). Taira: an Okinawan village. In six cultures?: studies of child rearing (pp. 1–13, 363–539). John Wiley and Sons, Inc. https://ehrafworldcultures.yale.edu/document?id=ac07-002","Ramanathan, J. R., & Machado, J. T. (1964). Village survey report on Thadagam. In Census of India 1961: Vol. Vol. 9 (pp. x, 154). Manager of Publications. https://ehrafworldcultures.yale.edu/document?id=aw16-026",,"Asia-Japan, Asia-India",shower,assets/5d4bed16cf0b3a0f3f34efac/5d4bed16cf0b3a0f3f34efac.jpg
73,Practicing hygiene,bathing,water well,1,"Hutchinson, H. W. (1957). Village and plantation life in northeastern Brazil. University of Washington Press. https://ehrafworldcultures.yale.edu/document?id=so11-002","Ramanathan, J. R., & Machado, J. T. (1964). Village survey report on Thadagam. In Census of India 1961: Vol. Vol. 9 (pp. x, 154). Manager of Publications. https://ehrafworldcultures.yale.edu/document?id=aw16-026",,"America-Brazil, Asia-India",shower,assets/5d4bf316cf0b3a0f3f359778/5d4bf316cf0b3a0f3f359778.jpg
74,Practicing hygiene,bathing,barrel,5,"Campbell, J. K. (1964). Honour, family and patronage: a study of institutions and moral values in a Greek mountain community. Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=eh01-011",,,Europe-Greece,shower,assets/5d4bef6ccf0b3a0f3f353388/5d4bef6ccf0b3a0f3f353388.jpg
75,Practicing hygiene,bathing,basin,6,"Friedl, E. (1963). Vasilika: a village in modern Greece. In Case studies in cultural anthropology (pp. 18, 110). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=eh01-002",,,Europe-Greece,shower,assets/5d4bf431cf0b3a0f3f35b360/5d4bf431cf0b3a0f3f35b360.jpg
76,Practicing hygiene,bathing,water pump,4,"Garbarino, M. S. (1972). Big Cypress: a changing Seminole community. In Case studies in cultural anthropology (pp. x, 132). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=nn16-006",,,America-US,shower,assets/5d4bef79cf0b3a0f3f353506/5d4bef79cf0b3a0f3f353506.jpg
77,Practicing hygiene,bathing,forest,5,"Davenport, William. 1972. “Social Organization Notes on the Northern Santa Cruz Islands: The Outer Reef Islands.” Baessler-Archiv; Beiträge Zur Völkerkunde, 11–95. https://ehrafworldcultures.yale.edu/document?id=on13-012.",,,Oceania-Solomon Islands,shower,assets/5fd0439bf2d9500e4359263c/b049f1d82d540127ec00965ad0ac7c71/previews/1024_01.jpg
78,Practicing hygiene,storing clothing,dresser,38,"Hungry Wolf, A. (1977). The Blood People: a division of the Blackfoot Confederacy : an illustrated interpretation of the old ways. Harper &Row. https://ehrafworldcultures.yale.edu/document?id=nf06-021",,,America-Canada,wardrobe,assets/5d4be6fecf0b3a0f3f344b1e/5d4be6fecf0b3a0f3f344b1e.jpg
79,Practicing hygiene,storing clothing,wardrobe,52,"Coulet, G., & Greene, L. (1926). The material organization of the popular theater among the Annamese. Imprimerie Commerciale C. Ardin. https://ehrafworldcultures.yale.edu/document?id=am11-154",,,Asia-Vietnamese,wardrobe,assets/5d4be362cf0b3a0f3f33e30b/5d4be362cf0b3a0f3f33e30b.jpg
80,Practicing hygiene,storing clothing,clothing rack,21,"Scott Sir, J. G. (1910). The Burman: his life and notions. Macmillan and Co. https://ehrafworldcultures.yale.edu/document?id=ap04-002",,,Asia-Myanmar,wardrobe,assets/5d4be3fdcf0b3a0f3f33f4c4/5d4be3fdcf0b3a0f3f33f4c4.jpg
81,Practicing hygiene,storing clothing,shelf,10,"Hoe, B. S. (1976). Structural changes of two Chinese communities in Alberta, Canada. In Mercury series (Issue 19, pp. xiv, 385). National Museums of Canada. https://ehrafworldcultures.yale.edu/document?id=nc04-005",,,America-Canada(Chinese diaspora),wardrobe,assets/5d4bf191cf0b3a0f3f356bb6/5d4bf191cf0b3a0f3f356bb6.jpg
82,Practicing hygiene,removing body dirt (substances),bar of soap,105,"Elmendorf, M. L. (Mary L. (1976). Nine Mayan women: a village faces change. Schenkman Pub. Co. https://ehrafworldcultures.yale.edu/document?id=nv10-017","Sekaquaptewa, H., & Udall, L. (1969). Me and mine: the life story of Helen Sekaquaptewa. University of Arizona Press. https://ehrafworldcultures.yale.edu/document?id=nt09-061",,"America-Mexico, America-US",soap for hands and body,assets/5d4bf28fcf0b3a0f3f358780/5d4bf28fcf0b3a0f3f358780.jpg
83,Practicing hygiene,removing body dirt (substances),hand sanitizer,8,"Singh, P., Potlia, I., Malhotra, S., Dubey, H., & Chauhan, H. (2020). Hand sanitizer an alternative to hand washing—a review of literature. Journal of Advanced Oral Research, 11(2), 137-142.",,,America-US,soap for hands and body,assets/5d4be7fecf0b3a0f3f3466af/5d4be7fecf0b3a0f3f3466af.jpg
84,Practicing hygiene,removing body dirt (substances),soap,120,"Sarpong, P. (1977). Girls’ nubility rites in Ashanti. Ghana Pub.  Corp. https://ehrafworldcultures.yale.edu/document?id=fe12-042","Singh, D. Sunder, Olive Joseph, and N. Rama Rao. 1964. “Village Survey Report on Pudukulam.” In Census of India 1961, Vol. 9:xii, 148. Delhi: Manager of Publications. https://ehrafworldcultures.yale.edu/document?id=aw16-028.",,"Africa-Ghana, Asia-India",soap for hands and body,assets/5d4bf18dcf0b3a0f3f356b34/5d4bf18dcf0b3a0f3f356b34.jpg
85,Practicing hygiene,removing body dirt (substances),liquid soap,14,"Lertsatitthanakorn, P., Manwiwattanakun, K., Paengnakorn, N., & Khunkitti, W. (2014). Antibacterial activity of an effective essential oil formulated in liquid soap against skin bacteria. Chiang Mai Journal of Science, 41(1), 71-83.",,,"General, Asia-Thailand",soap for hands and body,assets/5d4be05ecf0b3a0f3f3391aa/5d4be05ecf0b3a0f3f3391aa.jpg
86,Practicing hygiene,removing body dirt (substances),alcohol,1,"Johnston, G. A., & English, J. S. C. (2007). The alcohol hand rub: a good soap substitute?. British journal of Dermatology, 157(1), 1-3.",,,Europe-Britain,soap for hands and body,assets/5d4bdf07cf0b3a0f3f336ff3/5d4bdf07cf0b3a0f3f336ff3.JPG
87,Practicing hygiene,removing dirt from dishes,cloth,49,"Jenness, D. (1922). The life of the Copper Eskimos. In Report of the Canadian Arctic Expedition, 1913-1918: Vol. XII (pp. 5-277 , 9 plates). F.A. Acland. https://ehrafworldcultures.yale.edu/document?id=nd08-001","Blackman, M. B., & Davidson, F. E. (1982). During my time: Florence Edenshaw Davidson, a Haida woman. University of Washington Press ; Douglas & McIntyre. https://ehrafworldcultures.yale.edu/document?id=ne09-009",,"America-Canada, America-US",dish washing brush/cloth,assets/5ec4f874f0611d7ddd740ef3/5ec4f874f0611d7ddd740ef3.jpg
88,Practicing hygiene,removing dirt from dishes,sponge,180,"Møretrø, T., Moen, B., Almli, V. L., Teixeira, P., Ferreira, V. B., Åsli, A. W., ... & Langsrud, S. (2021). Dishwashing sponges and brushes: consumer practices and bacterial growth and survival. International Journal of Food Microbiology, 337, 108928.",,,"General, Europe",dish washing brush/cloth,assets/5d4be6f8cf0b3a0f3f344a70/5d4be6f8cf0b3a0f3f344a70.jpg
89,Practicing hygiene,removing dirt from dishes,soap,114,"Kupferer, H. J. (1966). The “principal people,” 1960: a study of cultural and social groups of the Eastern Cherokee. In Antrhopological papers (Issue 78, pp. 215–325). U.S. Government Printing Office. https://ehrafworldcultures.yale.edu/document?id=nn08-006",,,America-US,dish washing brush/cloth,assets/5ec4f54f3f62767d97a47312/5ec4f54f3f62767d97a47312.jpg
90,Practicing hygiene,removing dirt from dishes,ashes,3,"Wallis, W. D. (Wilson D., & Wallis, R. S. (1955). The Micmac Indians of eastern Canada. University of Minnesota Press. https://ehrafworldcultures.yale.edu/document?id=nj05-001",,,America-Canada,dish washing soap,assets/5d4beaf8cf0b3a0f3f34b6f0/5d4beaf8cf0b3a0f3f34b6f0.jpg
91,Practicing hygiene,removing dirt from dishes,brush,36,"Møretrø, T., Moen, B., Almli, V. L., Teixeira, P., Ferreira, V. B., Åsli, A. W., ... & Langsrud, S. (2021). Dishwashing sponges and brushes: consumer practices and bacterial growth and survival. International Journal of Food Microbiology, 337, 108928.",,,"General, Europe",dish washing brush/cloth,assets/5d4be02ccf0b3a0f3f338c2a/5d4be02ccf0b3a0f3f338c2a.jpg
92,Practicing hygiene,removing dirt from dishes,bucket,5,"Riyadi, D., & Bangun, Y. K. (2019). THREE BUCKETS SYSTEM FOR FOOD STREET INDUSTRY. CASE STUDY IN BANDUNG AND PALEMBANG. Journal of Business on Hospitality and Tourism, 5(2), 169-181.",,,Asia-India,dish washing brush/cloth,assets/5d4be1cfcf0b3a0f3f33ba75/5d4be1cfcf0b3a0f3f33ba75.JPG
93,Practicing hygiene,removing dirt from dishes,dishwasher,55,"Wilson, T. M. (1988). Culture and class among the “large” farmers of eastern Ireland. American Ethnologist, Vol. 15(4), 678–693. https://ehrafworldcultures.yale.edu/document?id=er06-026",,,Europe-Ireland,dishwasher,assets/5d4be70ecf0b3a0f3f344d0e/5d4be70ecf0b3a0f3f344d0e.jpg
94,Practicing hygiene,drying dishes,dish rack,110,"Bergman, R. W. (1980). Amazon economics: the simplicity of Shipibo Indian wealth. In Dellplain Latin American studies (Issue 6, pp. xxi, 249). Published for Dept. of Geography, Syracuse University by University Microfilms International. https://ehrafworldcultures.yale.edu/document?id=se26-007",,,America-Peru,dish racks,assets/5d4be36bcf0b3a0f3f33e3fd/5d4be36bcf0b3a0f3f33e3fd.jpg
95,Practicing hygiene,collecting garbage,bag,79,"Condon, R. G. (Richard G. (1987). Inuit youth: growth and change in the Canadian Arctic. In Adolescents in a changing world (p. 252). Rutger University Press. https://ehrafworldcultures.yale.edu/document?id=nd08-033",,,America-Canada,trash/waste,assets/5d4bf2e9cf0b3a0f3f35923e/5d4bf2e9cf0b3a0f3f35923e.jpg
96,Practicing hygiene,collecting garbage,can,177,"Condon, R. G. (Richard G. (1987). Inuit youth: growth and change in the Canadian Arctic. In Adolescents in a changing world (p. 252). Rutger University Press. https://ehrafworldcultures.yale.edu/document?id=nd08-033",,,America-Canada,trash/waste,assets/5d4bf40ecf0b3a0f3f35afd2/5d4bf40ecf0b3a0f3f35afd2.jpg
97,Practicing hygiene,collecting garbage,dumpster,4,"Gutierrez, C. P. (1992). Cajun foodways. University Press of Mississippi. https://ehrafworldcultures.yale.edu/document?id=no12-007",,,America-US,trash/waste,assets/5d4bef7dcf0b3a0f3f353590/5d4bef7dcf0b3a0f3f353590.jpg
98,Practicing hygiene,collecting garbage,pile,20,"Dentan, R. K. (1968). he Semai: a nonviolent people of Malaya. In Case studies in cultural anthropology (pp. 16, 110). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=an06-017",,,Asia-Malaysia,trash/waste,assets/5d4bf3a9cf0b3a0f3f35a688/5d4bf3a9cf0b3a0f3f35a688.jpg
99,Practicing hygiene,collecting garbage,landfill,2,"Endter-Wada, J., Mason, R., Mulcahy, J. B., & Hofmeister, J. (1992). The Kodiak Region. In Social indicators study of Alaskan coastal villages. I. Key informant summaries: Vol. Vol. 2 (Issue 152, p. [i-B]-xxi-B, 665-882). The Region. https://ehrafworldcultures.yale.edu/document?id=na10-036",,,America-US,trash/waste,assets/5d4befc8cf0b3a0f3f353d2a/5d4befc8cf0b3a0f3f353d2a.jpg
100,Practicing hygiene,washing hair,shampoo,216,"Parpola, M. (2000). Kerala Brahmins in transition: a study of a Namputiri family. In Studia Orientalia (pp. xii, 436). Finnish Oriental Society. https://ehrafworldcultures.yale.edu/cultures/aw11/documents/015",,,Asia-India,shampoo,assets/5d4be339cf0b3a0f3f33dedd/5d4be339cf0b3a0f3f33dedd.jpg
101,Practicing hygiene,washing hair,soap,29,"Silva, A. B. A. da, & Lillios, I. (1962). The indigenous civilization of the Uaupés. In Centro de Pesquisas de Iauareté (p. HRAF MS: 749  [original: 496, plates]). Centro de Pesquisas de Iauareté. https://ehrafworldcultures.yale.edu/document?id=sq19-004","Sekaquaptewa, H., & Udall, L. (1969). Me and mine: the life story of Helen Sekaquaptewa. University of Arizona Press. https://ehrafworldcultures.yale.edu/document?id=nt09-061",,"America-Columbia_Brazil, America-US",shampoo,assets/5d4bf202cf0b3a0f3f35785e/5d4bf202cf0b3a0f3f35785e.jpg
102,Practicing hygiene,washing hair,conditioner,11,"Reich, C., & Su, D. T. (2001). Hair conditioners. In Handbook of cosmetic science and technology (pp. 347-362). CRC Press.","Hoshowski, M. A. (2018). Conditioning of hair. In Hair and Hair Care (pp. 65-104). Routledge.",,General,shampoo,assets/5d4be1d9cf0b3a0f3f33bb5f/5d4be1d9cf0b3a0f3f33bb5f.JPG
103,Practicing hygiene,cleaning body after toilet use,toilet paper,176,"Ainsworth, M. D. (Salter). (1967). Infancy in Uganda: infant care and the growth of love. Johns Hopkins Press. https://ehrafworldcultures.yale.edu/document?id=fk07-018",,,"General, Africa-Uganda",toilet paper,assets/5d4bef4ccf0b3a0f3f352fd2/5d4bef4ccf0b3a0f3f352fd2.jpg
104,Practicing hygiene,cleaning body after toilet use,kettle,4,"Chapelle, J., & Schütze, F. (1957). Black nomads of the Sahara. Librairie Plon. https://ehrafworldcultures.yale.edu/document?id=ms22-008",,,Africa-Chad,toilet paper,assets/5d4bf37ccf0b3a0f3f35a1d4/5d4bf37ccf0b3a0f3f35a1d4.jpg
105,Practicing hygiene,cleaning body after toilet use,leaves,12,"Evans-Pritchard, E. E. (Edward E. (1957). The Zande royal court. Zaire [Microform], Vol. 11, 361–389, 493–511, 687–713. https://ehrafworldcultures.yale.edu/document?id=fo07-064","Hellson, John C. 1974. “Ethnobotany of the Blackfoot Indians.” In Mercury Series, iii, 138. Ottawa: National Museums of Canada. https://ehrafworldcultures.yale.edu/document?id=nf06-017.","Hungry Wolf, Adolf. 1977. The Blood People: A Division of the Blackfoot Confederacy?: An Illustrated Interpretation of the Old Ways. New York: Harper &Row. https://ehrafworldcultures.yale.edu/document?id=nf06-021.","Africa-Congo, America-Canada",toilet paper,assets/5d4bece9cf0b3a0f3f34eadc/5d4bece9cf0b3a0f3f34eadc.jpg
106,Practicing hygiene,cleaning body after toilet use,newspaper,1,"Ainsworth, M. D. (Salter). (1967). Infancy in Uganda: infant care and the growth of love. Johns Hopkins Press. https://ehrafworldcultures.yale.edu/document?id=fk07-018",,,Africa-Uganda,toilet paper,assets/5d4bec69cf0b3a0f3f34de30/5d4bec69cf0b3a0f3f34de30.jpg
107,Practicing hygiene,cleaning body after toilet use,bucket,27,"Pierce, J. E. (1964). Life in a Turkish village. In Case studies in cultural anthropology (pp. xii, 102). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=mb01-003","Warren, Dennis M. 1975. The Techiman-Bono of Ghana: An Ethnography of an Akan Society. Dubuque, Iowa: Kendall/Hunt Pub. Co. https://ehrafworldcultures.yale.edu/document?id=fe12-054.",,"Europe-Turkey, Asia-Turkey, Africa-Ghana",cleaning after toilet,assets/5d4be333cf0b3a0f3f33de5d/5d4be333cf0b3a0f3f33de5d.jpg
108,Practicing hygiene,cleaning household,toothbrush,8,https://www.brownsburgfamilydentistry.com/there-may-be-life-in-your-old-toothbrush-yet-10-amazing-uses-for-your-old-toothbrush/,,,General,cleaning equipment,assets/5d4bf191cf0b3a0f3f356ba6/5d4bf191cf0b3a0f3f356ba6.jpg
109,Practicing hygiene,cleaning household,broom,239,"Koch, G., & Schütze, F. (1955). The South Seas -- yesterday and today: cultural change among the Tongans and an attempt to interpret this development. In Kulturgeschichtliche Forschungen (p. HRAF Ms.: 1, 518 leaves [Original: 1-331, 352-359 ]). A. Limbach. https://ehrafworldcultures.yale.edu/document?id=ou09-100","Carcopino, J., Rowell, H. T., & Lorimer, E. O. (Emily O. (1940). Daily life in ancient Rome: the people and the city at the height of the empire. Yale University Press. https://ehrafworldcultures.yale.edu/document?id=ei09-001",,"Oceania-Tonga, Europe-Rome",cleaning equipment,assets/5d4bee82cf0b3a0f3f351864/5d4bee82cf0b3a0f3f351864.jpg
110,Practicing hygiene,cleaning household,vacuum cleaner,25,"Condon, R. G. (Richard G. (1983). Inuit behavior and seasonal change in the Canadian Arctic. In Studies in cultural anthropology (p. 228). UMI Research Press. https://ehrafworldcultures.yale.edu/document?id=nd08-034",,,America-Canada,cleaning equipment,assets/5d4be533cf0b3a0f3f3417e6/5d4be533cf0b3a0f3f3417e6.jpg
111,Practicing hygiene,cleaning household,bucket,7,"Pierce, J. E. (1964). Life in a Turkish village. In Case studies in cultural anthropology (pp. xii, 102). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=mb01-003","Warren, Dennis M. 1975. The Techiman-Bono of Ghana: An Ethnography of an Akan Society. Dubuque, Iowa: Kendall/Hunt Pub. Co. https://ehrafworldcultures.yale.edu/document?id=fe12-054.",,"Europe-Turkey, Asia-Turkey, Africa-Ghana",cleaning equipment,assets/5d4beab9cf0b3a0f3f34af7c/5d4beab9cf0b3a0f3f34af7c.jpg
112,Practicing hygiene,cleaning household,cloth,7,"Carcopino, J., Rowell, H. T., & Lorimer, E. O. (Emily O. (1940). Daily life in ancient Rome: the people and the city at the height of the empire. Yale University Press. https://ehrafworldcultures.yale.edu/document?id=ei09-001",,,Europe-Rome,cleaning equipment,assets/5d4be176cf0b3a0f3f33b20b/5d4be176cf0b3a0f3f33b20b.jpg
113,Practicing hygiene,cleaning household,brush,22,"Wolf, M. (1972). Women and the family in rural Taiwan. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=ad05-007",,,Asia-Taiwan,cleaning equipment,assets/5d4bef14cf0b3a0f3f35294c/5d4bef14cf0b3a0f3f35294c.jpg
114,Practicing hygiene,cleaning household,sponge,3,"Møretrø, T., Moen, B., Almli, V. L., Teixeira, P., Ferreira, V. B., Åsli, A. W., ... & Langsrud, S. (2021). Dishwashing sponges and brushes: consumer practices and bacterial growth and survival. International Journal of Food Microbiology, 337, 108928.",,,Europe,cleaning equipment,assets/5d4be00ecf0b3a0f3f338a14/5d4be00ecf0b3a0f3f338a14.jpg
115,Practicing hygiene,cleaning household,rake,1,"Pearson, L. E. (1957). Elizabethans at home. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=es14-010",,,Europe-Britain,cleaning equipment,assets/5d4be618cf0b3a0f3f3430c7/5d4be618cf0b3a0f3f3430c7.jpg
116,Practicing hygiene,cleaning household,mop,14,"Besant, W. (1902). London in the eighteenth century. In The survey of London (pp. xvii, 667 , plates). A. & C. Black. https://ehrafworldcultures.yale.edu/document?id=es03-010",,,Europe-Britain,cleaning equipment,assets/6057a619a1ce9679bacfabdc/9eb4e2748829d5bd18db81483ef386a4/6057a619a1ce9679bacfabdc.jpg
117,Practicing hygiene,shaving,shaving cream,10,"Durham, M. E. (Mary E. (1928). Some tribal origins, laws, and customs of the Balkans. George Allen and Unwin. https://ehrafworldcultures.yale.edu/document?id=eg01-002",,,Europe-Albania,shaving,assets/5d4be05dcf0b3a0f3f339182/5d4be05dcf0b3a0f3f339182.jpg
118,Practicing hygiene,shaving,razor,64,"Kemp, P., London, U. O., & Studies, S. O. S. A. E. E. (1935). Healing ritual: studies in the technique and tradition of the southern Slavs. Published in conjunction with the School of the Slavonic and East European studies, University of London, Faber and Faber Limited. https://ehrafworldcultures.yale.edu/document?id=ef06-005",,,Europe-Serbia,shaving,assets/5d4bf06acf0b3a0f3f354e1c/5d4bf06acf0b3a0f3f354e1c.jpg
119,Practicing hygiene,shaving,scissors,53,"Reynolds, B., & of Zambia), K. studies (National M. (1968). The material culture of the peoples of the Gwembe Valley. In Kariba studies: Vol. v. 3 (pp. xiv, 262 , 16 plates). Praeger. https://ehrafworldcultures.yale.edu/document?id=fq12-003",,,Africa-Zambia,shaving,assets/5ec4f957f0611d7ddd741685/5ec4f957f0611d7ddd741685.JPG
120,Practicing hygiene,shaving,electric razor,32,"Retallack, G. B. (1999). Razors, Shaving and Gender Construction: An Inquiry into the Material Culture of Shaving. Material Culture Review, 49(1). Retrieved from https://journals.lib.unb.ca/index.php/MCR/article/view/17782",,,"America-US, Europe-Greece, Europe-Rome",shaving,assets/5d4bf2ebcf0b3a0f3f359280/5d4bf2ebcf0b3a0f3f359280.jpg
121,Practicing hygiene,shaving,shaving foam,3,"Zaoui, M., & Malka, E. (2009). The art of shaving. Clarkson Potter.",,,"Europe-Greece, Europe-Rome",shaving,assets/5ec4f5c7f4a4fb7dc03879ef/5ec4f5c7f4a4fb7dc03879ef.jpg
122,Practicing hygiene,shaving,shaving stick,14,"Retallack, G. B. (1999). Razors, Shaving and Gender Construction: An Inquiry into the Material Culture of Shaving. Material Culture Review, 49(1). Retrieved from https://journals.lib.unb.ca/index.php/MCR/article/view/17782",,,"America-US, Europe-Greece, Europe-Rome",shaving,assets/5d4beeb0cf0b3a0f3f351dae/5d4beeb0cf0b3a0f3f351dae.jpg
123,Practicing hygiene,eliminating mosquitoes,electric insect trap,12,"Dalziel, C. F. (1951). Electric insect traps. Transactions of the American Institute of Electrical Engineers, 70(2), 1503-1507.",,,America-US,mosquito protection,assets/5d4bef4ecf0b3a0f3f353010/5d4bef4ecf0b3a0f3f353010.jpg
124,Practicing hygiene,eliminating mosquitoes,mosquito coil,8,"Raybeck, D. (1996). Mad dogs, Englishmen, and the errant anthropologist: fieldwork in Malaysia. Waveland Press. https://ehrafworldcultures.yale.edu/document?id=an05-196",,,Asia-Malaysia,mosquito protection,assets/5d4be35ecf0b3a0f3f33e293/5d4be35ecf0b3a0f3f33e293.jpg
125,Practicing hygiene,eliminating mosquitoes,mosquito net,61,"Bastian, M. L. (2001). The demon superstition: abominable twins and mission culture in Onitsha history. Ethnology, Vol. 40(1), 13–27. https://ehrafworldcultures.yale.edu/document?id=ff26-043",,,Africa-Nigeria,mosquito protection,assets/5d4bf2edcf0b3a0f3f3592ae/5d4bf2edcf0b3a0f3f3592ae.jpg
126,Practicing hygiene,eliminating mosquitoes,mosquito spray,6,"Bonds, J. A. S. (2012). Ultra‐low‐volume space sprays in mosquito control: a critical review. Medical and veterinary entomology, 26(2), 121-130.",,,America-US,mosquito protection,assets/5d4be0b9cf0b3a0f3f339c19/5d4be0b9cf0b3a0f3f339c19.jpg
127,Practicing hygiene,eliminating mosquitoes,insect repellent,9,"Raybeck, D. (1996). Mad dogs, Englishmen, and the errant anthropologist: fieldwork in Malaysia. Waveland Press. https://ehrafworldcultures.yale.edu/document?id=an05-196",,,Asia-Malaysia,mosquito protection,assets/5d4be1a8cf0b3a0f3f33b6c1/5d4be1a8cf0b3a0f3f33b6c1.jpg
128,Practicing hygiene,absorbing menstrual flow,sanitary pad,86,"Gelfand, M., & Hannan, M. (1967). The African witch: with particular reference to witchcraft beliefs and practices among the Shona of Rhodesia. E. & S. Livingstone. https://ehrafworldcultures.yale.edu/document?id=fs05-012",,,Africa-Zimbabwe,menstruation pads / tampax,assets/5d4be13ecf0b3a0f3f33ab8d/5d4be13ecf0b3a0f3f33ab8d.jpg
129,Practicing hygiene,absorbing menstrual flow,panty liner,3,"Sofiyah, S., & Andarwulan, S. (2021). Literature review: The Effect of Using Non-Herbal Panty Liners on Abnormal Vaginal Discharge in Adolescent Girls. Basic and Applied Nursing Research Journal, 2(2), 60-64.",,,Asia-Indonesia,menstruation pads / tampax,assets/5ec4fab7f0611d7ddd74220a/5ec4fab7f0611d7ddd74220a.jpg
130,Practicing hygiene,absorbing menstrual flow,tampon,1,"Silberbauer, G. B. (1965). Report to the Government of Bechuanaland on the Bushman Survey. Bechuanaland Government. https://ehrafworldcultures.yale.edu/document?id=fx10-036",,,Africa-Botswana,menstruation pads / tampax,assets/5ec4fb56f0611d7ddd74274d/5ec4fb56f0611d7ddd74274d.jpg
131,Practicing hygiene,absorbing menstrual flow,menstrual cup,4,"Van Eijk, A. M., Zulaika, G., Lenchner, M., Mason, L., Sivakami, M., Nyothach, E., ... & Phillips-Howard, P. A. (2019). Menstrual cup use, leakage, acceptability, safety, and availability: a systematic review and meta-analysis. The lancet public health, 4(8), e376-e393.",,,America-US,menstruation pads / tampax,assets/5ec4f8cbf0611d7ddd7411de/5ec4f8cbf0611d7ddd7411de.JPG
132,Beautifying,decorating walls,statue,3,"Pearson, L. E. (1957). Elizabethans at home. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=es14-010",,,Europe-Britain,wall decoration,assets/5d4bee86cf0b3a0f3f3518da/5d4bee86cf0b3a0f3f3518da.jpg
